"cohen_d_xaxis","cohen_d_yaxis","pvalue_negneg","pvalue_pospos","xaxis","yaxis","feat","cancer_type","nPosX","nPosY","nSamplesX","nSamplesY"
0.340158174057363,-0.604044534765683,0.415841584158416,0.742574257425743,"Dabrafenib","BRAF","ARID1A_mut","BLCA",4,5,16,13
-0.488648264793334,0.128638754999236,0.455445544554455,0.504950495049505,"Dabrafenib","BRAF","CDKN1A_mut","BLCA",3,2,16,13
0.632172926927567,-0.262381313258311,0.643564356435644,0.336633663366337,"Dabrafenib","BRAF","EP300_mut","BLCA",3,4,16,13
1.80016276625491,0.331849535566882,0.891089108910891,0.0594059405940594,"Dabrafenib","BRAF","KDM6A_mut","BLCA",2,2,16,13
-0.303351899271781,-0.421593037358023,0.168316831683168,0.425742574257426,"Dabrafenib","BRAF","MAP4K3_mut","BLCA",2,2,16,13
1.40767408359683,-0.30601168004136,0.900990099009901,0.386138613861386,"Dabrafenib","BRAF","MLL2_mut","BLCA",2,3,16,13
1.87821947797002,1.61671852660217,0.98019801980198,0.0099009900990099,"Dabrafenib","BRAF","NRAS_mut","BLCA",3,3,16,13
-0.77284408909909,-0.744443420047196,0.0099009900990099,0.871287128712871,"Dabrafenib","BRAF","RB1_mut","BLCA",6,4,16,13
-0.58833628734194,-0.31602083448131,0.0792079207920792,0.613861386138614,"Dabrafenib","BRAF","TP53_mut","BLCA",12,11,16,13
1.10458852536599,0.982424972366602,0.752475247524752,0.0396039603960396,"Dabrafenib","BRAF","gain:cnaBLCA1","BLCA",2,2,16,13
-0.303351899271781,-0.421593037358023,0.128712871287129,0.554455445544555,"Dabrafenib","BRAF","gain:cnaBLCA3 (GATA3,KLF6,LARP4B,VIM)","BLCA",2,2,16,13
-0.455829613557586,-0.583203891472776,0.0495049504950495,0.752475247524752,"Dabrafenib","BRAF","loss:cnaBLCA5 (FAT1,IRF2)","BLCA",4,5,16,13
-0.736486358172686,-1.10633279560271,0.0297029702970297,0.930693069306931,"Dabrafenib","BRAF","gain:cnaBLCA9","BLCA",4,3,16,13
1.10458852536599,0.982424972366602,0.792079207920792,0.0297029702970297,"Dabrafenib","BRAF","gain:cnaBLCA12 (MACF1)","BLCA",2,2,16,13
0.461357858074271,-0.418387513938353,0.603960396039604,0.504950495049505,"Dabrafenib","BRAF","gain:cnaBLCA15 (ASXL1)","BLCA",4,3,16,13
0.361879143170032,0.862528962817187,0.722772277227723,0.099009900990099,"Dabrafenib","BRAF","loss:cnaBLCA18 (CHD9,CNOT1,CYLD,MMP2,NUP93)","BLCA",3,2,16,13
0.921063642265735,0.444052360257885,0.762376237623762,0.0495049504950495,"Dabrafenib","BRAF","gain:cnaBLCA23 (MYC)","BLCA",3,3,16,13
-0.794075012282065,-1.06447633085965,0.0693069306930693,0.752475247524752,"Dabrafenib","BRAF","chr17:41363727-41364273(TMEM106A)_HypMET","BLCA",14,10,16,13
0.289601636698593,0.978072259100278,0.930693069306931,0.0891089108910891,"Dabrafenib","BRAF","chr19:21265164-21265433(ZNF714)_HypMET","BLCA",8,6,16,13
0.0679178003187603,0.789945011352317,NA,NA,"Dabrafenib","BRAF","chr22:24384134-24384405(GSTT1)_HypMET","BLCA",11,8,16,13
-0.523985106699004,0.0970121881511343,0.386138613861386,0.673267326732673,"Dabrafenib","BRAF","chr17:44656490-44657494(ARL17A)_HypMET","BLCA",6,5,16,13
-0.0393724842072846,1.18346143869355,NA,NA,"Dabrafenib","BRAF","chr3:53032813-53033116(SFMBT1)_HypMET","BLCA",5,4,16,13
-0.105603846489095,-0.716865800777025,NA,NA,"Dabrafenib","BRAF","chr7:27203915-27206462(HOXA9)_HypMET","BLCA",11,8,16,13
-0.0428656538908577,0.2670827095335,NA,NA,"Dabrafenib","BRAF","chr8:67344497-67344989(RRS1)_HypMET","BLCA",9,8,16,13
-0.224117178493468,0.868067250527664,0.821782178217822,0.445544554455446,"Dabrafenib","BRAF","ARID1A_mut","BRCA",4,2,40,29
-0.444914407376558,-0.85293949150058,0.0495049504950495,0.891089108910891,"Dabrafenib","BRAF","BRCA1_mut","BRCA",4,4,40,29
-0.485089168669252,0.570651600716,0.722772277227723,0.633663366336634,"Dabrafenib","BRAF","CDH1_mut","BRCA",4,3,40,29
